APPS NOT IN ANY APP GROUP
Generated: 2026-07-08 01:59
In groups: 30 apps | Not grouped: 210 apps

NAME | TARGET | SOURCE
-----|--------|------
1TamilMV | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
4K Wallpapers | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
AdBlock360 | (winget) | Winget
Administrative Templates (.admx) for Windows Server2025 November 2024 Update ARP\Machine\X86\{26569AA9-45E3-4F62-951D-E3F9F8CC5331} | (winget) | Winget
Antigravity 2.1.4 | (winget) | Winget
Antigravity IDE | C:\Users\nisha\AppData\Local\Programs\Antigravity IDE\Antigravity IDE.exe | Start Menu
Antigravity IDE (User) | (winget) | Winget
App Group | C:\Program Files\App Group\AppGroup.exe | Start Menu
App Group 1.5.0 - Bundled | (winget) | Winget
Autoruns64 | C:\Program Files\Autoruns64.exe | Start Menu
Blackmagic Proxy Generator Lite | C:\Program Files\Blackmagic Design\DaVinci Resolve\Resolve.exe | Start Menu
Blackmagic Remote Monitor | C:\Program Files\Blackmagic Design\DaVinci Resolve\Blackmagic Remote Monitor.exe | Start Menu
Cloudflare One Client | C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe | Start Menu
Cursor (User) | (winget) | Winget
DaVinci Control Panels | C:\Program Files (x86)\Blackmagic Design\DaVinci Control Panels\Setup Utility\DaVinci Control Panels Setup.exe | Start Menu
DaVinci Resolve | C:\Program Files\Blackmagic Design\DaVinci Resolve\Resolve.exe | Start Menu
DaVinci Resolve Control Panels | (winget) | Winget
Dell Power Manager | (winget) | Winget
Dell Power Manager Service | (winget) | Winget
Discord | C:\Users\nisha\AppData\Local\Discord\Update.exe | Start Menu
EarTrumpet | (winget) | Winget
Fairlight Audio Accelerator Utility | (winget) | Winget
Fairlight Studio Utility | C:\Program Files (x86)\Blackmagic Design\DaVinci Control Panels\Fairlight Studio Utility\Fairlight Studio Utility.exe | Start Menu
Figma Agent | (winget) | Winget
Foto Owl  AI Powered Beautiful Online Client Photo Gallery | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Foto Owl: AI Powered Beautiful Online Client Photo Gallery | (winget) | Winget
Git | (winget) | Winget
Git Bash | C:\Program Files\Git\git-bash.exe | Start Menu
Git for Windows | C:\Program Files\Git\mingw64\bin\wintoast.exe | Start Menu
Git GUI | C:\Program Files\Git\cmd\git-gui.exe | Start Menu
GitHub Desktop | C:\Users\nisha\AppData\Local\GitHubDesktop\GitHubDesktop.exe | Start Menu
gnuplot 6.0 patchlevel 1 | C:\Program Files\gnuplot\bin\wgnuplot.exe | Start Menu
gnuplot 6.0 patchlevel 4 | C:\Program Files\gnuplot\bin\wgnuplot.exe | Start Menu
Google Chrome | C:\Program Files\Google\Chrome\Application\chrome.exe | Start Menu
Google Classroom | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Google Drive | C:\Program Files\Google\Drive File Stream\127.0.1.0\GoogleDriveFS.exe | Start Menu
hdqwalls.com Best Source For HD,4k,5k,8k Wallpapers | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
iCloud Outlook | (winget) | Winget
Intel(R) Computing Improvement Program | (winget) | Winget
Intel(R) Wireless Bluetooth(R) | (winget) | Winget
Intel® Graphics Command Center | (winget) | Winget
JoisApp | (winget) | Winget
Local AI Manager for Microsoft 365 | (winget) | Winget
